Month,Volume
01/01/2001,648
01/02/2001,646
01/03/2001,639
01/04/2001,654
01/05/2001,630
01/06/2001,622
01/07/2001,617
01/08/2001,613
01/09/2001,661
01/10/2001,695
01/11/2001,690
01/12/2001,707
01/01/2002,817
01/02/2002,839
01/03/2002,810
01/04/2002,789
01/05/2002,760
01/06/2002,724
01/07/2002,704
01/08/2002,691
01/09/2002,745
01/10/2002,803
01/11/2002,780
01/12/2002,761
01/01/2003,857
01/02/2003,907
01/03/2003,873
01/04/2003,910
01/05/2003,900
01/06/2003,880
01/07/2003,867
01/08/2003,854
01/09/2003,928
01/10/2003,1064
01/11/2003,1103
01/12/2003,1026
01/01/2004,1102
01/02/2004,1080
01/03/2004,1034
01/04/2004,1083
01/05/2004,1078
01/06/2004,1020
01/07/2004,984
01/08/2004,952
01/09/2004,1033
01/10/2004,1114
01/11/2004,1160
01/12/2004,1058
01/01/2005,1209
01/02/2005,1200
01/03/2005,1130
01/04/2005,1182
01/05/2005,1152
01/06/2005,1116
01/07/2005,1098
01/08/2005,1044
01/09/2005,1142
01/10/2005,1222
01/11/2005,1234
01/12/2005,1155
01/01/2006,1286
01/02/2006,1281
01/03/2006,1224
01/04/2006,1280
01/05/2006,1228
01/06/2006,1181
01/07/2006,1156
01/08/2006,1124
01/09/2006,1152
01/10/2006,1205
01/11/2006,1260
01/12/2006,1188
01/01/2007,1212
01/02/2007,1269
01/03/2007,1246
01/04/2007,1299
01/05/2007,1284
01/06/2007,1345
01/07/2007,1341
01/08/2007,1308
01/09/2007,1448
01/10/2007,1454
01/11/2007,1467
01/12/2007,1431
01/01/2008,1510
01/02/2008,1558
01/03/2008,1536
01/04/2008,1523
01/05/2008,1492
01/06/2008,1437
01/07/2008,1365
01/08/2008,1310
01/09/2008,1441
01/10/2008,1450
01/11/2008,1424
01/12/2008,1360
01/01/2009,1429
01/02/2009,1440
01/03/2009,1414
01/04/2009,1424
01/05/2009,1408
01/06/2009,1337
01/07/2009,1258
01/08/2009,1214
01/09/2009,1326
01/10/2009,1417
01/11/2009,1417
01/12/2009,1329
01/01/2010,1461
01/02/2010,1425
01/03/2010,1419
01/04/2010,1432
01/05/2010,1394
01/06/2010,1327
